optimizer,activation,initializer,loss,final_loss,final_accuracy
SGD,ELU,Random,CrossEntropy,2.3024338234927506,0.1606
SGD,ELU,Random,MSE,0.09000350118610441,0.029966666666666666
SGD,ELU,Random,MAE,0.1800015483757546,0.102
SGD,ELU,Random,Huber,0.04500131314653603,0.09681666666666666
SGD,ELU,Xavier,CrossEntropy,2.3000504593911026,0.112
SGD,ELU,Xavier,MSE,0.0908983417554008,0.07108333333333333
SGD,ELU,Xavier,MAE,0.18012575725413066,0.13445
SGD,ELU,Xavier,Huber,0.045812261651718166,0.10201666666666667
SGD,ELU,He,CrossEntropy,2.4983030853879087,0.11756666666666667
SGD,ELU,He,MSE,0.09436033731604226,0.10308333333333333
SGD,ELU,He,MAE,0.17722214014248336,0.16231666666666666
SGD,ELU,He,Huber,0.04730171779700141,0.09228333333333333
SGD,ELU,LeCun,CrossEntropy,2.33855481348623,0.08478333333333334
SGD,ELU,LeCun,MSE,0.09108530017993975,0.09483333333333334
SGD,ELU,LeCun,MAE,0.18009628731985222,0.07133333333333333
SGD,ELU,LeCun,Huber,0.04543821209019933,0.08896666666666667
SGD,Swish,Random,CrossEntropy,2.302599612329092,0.06345
SGD,Swish,Random,MSE,0.09000021826982763,0.11361666666666667
SGD,Swish,Random,MAE,0.18000034311529195,0.09905
SGD,Swish,Random,Huber,0.04499999428345955,0.08768333333333334
SGD,Swish,Xavier,CrossEntropy,2.3062191054821883,0.08453333333333334
SGD,Swish,Xavier,MSE,0.0903516952377378,0.08073333333333334
SGD,Swish,Xavier,MAE,0.18016985416965853,0.08863333333333333
SGD,Swish,Xavier,Huber,0.044897466036136736,0.09745
SGD,Swish,He,CrossEntropy,2.3343311601692793,0.0872
SGD,Swish,He,MSE,0.09104426330620062,0.10685
SGD,Swish,He,MAE,0.17973764296681252,0.09586666666666667
SGD,Swish,He,Huber,0.04567787478364501,0.09578333333333333
SGD,Swish,LeCun,CrossEntropy,2.2899073104002756,0.15403333333333333
SGD,Swish,LeCun,MSE,0.08987494590036617,0.12835
SGD,Swish,LeCun,MAE,0.17958055912571366,0.13061666666666666
SGD,Swish,LeCun,Huber,0.04504235912567399,0.11556666666666666
SGD,GELU,Random,CrossEntropy,2.302606156869146,0.11266666666666666
SGD,GELU,Random,MSE,0.09000013916374491,0.07521666666666667
SGD,GELU,Random,MAE,0.1799997506875041,0.1362
SGD,GELU,Random,Huber,0.0449998519407753,0.11266666666666666
SGD,GELU,Xavier,CrossEntropy,2.297093718555916,0.12425
SGD,GELU,Xavier,MSE,0.09007784206565071,0.10723333333333333
SGD,GELU,Xavier,MAE,0.17971730623956575,0.11148333333333334
SGD,GELU,Xavier,Huber,0.04494557830187952,0.12985
SGD,GELU,He,CrossEntropy,2.290298741626821,0.12258333333333334
SGD,GELU,He,MSE,0.09045218312636515,0.09411666666666667
SGD,GELU,He,MAE,0.1796883699053393,0.10046666666666666
SGD,GELU,He,Huber,0.046021325750643945,0.07328333333333334
SGD,GELU,LeCun,CrossEntropy,2.2981382067493987,0.0688
SGD,GELU,LeCun,MSE,0.09033471469001769,0.06505
SGD,GELU,LeCun,MAE,0.1797870483734704,0.111
SGD,GELU,LeCun,Huber,0.045228344755121594,0.08683333333333333
SGD,Mish,Random,CrossEntropy,2.302526924214021,0.13055
SGD,Mish,Random,MSE,0.08999899930416419,0.16151666666666667
SGD,Mish,Random,MAE,0.18000006312186118,0.11746666666666666
SGD,Mish,Random,Huber,0.044999764474903434,0.12613333333333332
SGD,Mish,Xavier,CrossEntropy,2.3190377743379997,0.10561666666666666
SGD,Mish,Xavier,MSE,0.09071834501372476,0.11613333333333334
SGD,Mish,Xavier,MAE,0.1800535857531545,0.09306666666666667
SGD,Mish,Xavier,Huber,0.04530111906577123,0.06488333333333333
SGD,Mish,He,CrossEntropy,2.316382803779255,0.11415
SGD,Mish,He,MSE,0.09059077367924726,0.11426666666666667
SGD,Mish,He,MAE,0.1815361849831789,0.06518333333333333
SGD,Mish,He,Huber,0.045406311090834636,0.1076
SGD,Mish,LeCun,CrossEntropy,2.290202026988781,0.1117
SGD,Mish,LeCun,MSE,0.09002803121106583,0.10371666666666667
SGD,Mish,LeCun,MAE,0.17999057205666819,0.09526666666666667
SGD,Mish,LeCun,Huber,0.04497404803511582,0.11616666666666667
SGD,Sigmoid,Random,CrossEntropy,2.3026649727122375,0.11208333333333333
SGD,Sigmoid,Random,MSE,0.09003376857672984,0.10036666666666667
SGD,Sigmoid,Random,MAE,0.17996260292232283,0.11208333333333333
SGD,Sigmoid,Random,Huber,0.04501496891332468,0.10396666666666667
SGD,Sigmoid,Xavier,CrossEntropy,2.343644298887682,0.10176666666666667
SGD,Sigmoid,Xavier,MSE,0.09167220963089444,0.0976
SGD,Sigmoid,Xavier,MAE,0.1798683062290487,0.10396666666666667
SGD,Sigmoid,Xavier,Huber,0.04551549638216554,0.10396666666666667
SGD,Sigmoid,He,CrossEntropy,2.4016921457708236,0.11208333333333333
SGD,Sigmoid,He,MSE,0.09941706294804,0.0976
SGD,Sigmoid,He,MAE,0.18025678438344128,0.09866666666666667
SGD,Sigmoid,He,Huber,0.04569880696205261,0.10375
